"GS","converged","loss","gene.tested","coef","std.err","t.value","p.value","adj.p.val"
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS","Y",0.0218751918818924,53,-0.0127340928768248,0.0292155778828411,-0.435866541058691,0.662939337372869,0.894182927584987
"KEGG_CITRATE_CYCLE_TCA_CYCLE","Y",0.0114744194731147,25,-0.00811026622899876,0.0423210824513104,-0.19163654989991,0.8480292987561,0.922417833734705
"KEGG_PENTOSE_PHOSPHATE_PATHWAY","Y",0.0114050780075329,25,-0.0661336703541631,0.0442597876084594,-1.4942157187741,0.135138613347276,0.51624022446496
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS","Y",0.0106615883163848,23,0.0285691989267934,0.0420643613180517,0.679178240952705,0.497034581356216,0.880461258402439
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM","Y",0.0130396137363872,29,0.0191412824705063,0.0380397984050789,0.50319095455434,0.614836826780541,0.894182927584987
"KEGG_GALACTOSE_METABOLISM","Y",0.0102633976344957,22,0.0221838585731111,0.0435099395325872,0.509857260465653,0.610158373334828,0.894182927584987
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM","Y",0.00986409883761666,21,0.00409864322810566,0.0455537421736788,0.0899737986942788,0.928309142060603,0.964611734208225
"KEGG_FATTY_ACID_METABOLISM","Y",0.0157132634837698,36,-0.0143935666720301,0.0354927491361367,-0.40553541279155,0.685089318994976,0.894182927584987
"KEGG_STEROID_BIOSYNTHESIS","Y",0.00691669453575089,14,-0.0294137305432152,0.0575523682517795,-0.511077674762858,0.609303593912349,0.894182927584987
"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS","Y",0.00644053169726317,13,0.0689742677697411,0.0530751295115892,1.29955910431985,0.193770512844905,0.600688589819205
"KEGG_STEROID_HORMONE_BIOSYNTHESIS","Y",0.0172021668191774,40,0.0114324876483025,0.0327304936458337,0.349291635256401,0.72687489216708,0.901324866287179
"KEGG_OXIDATIVE_PHOSPHORYLATION","Y",0.0373611617900995,100,-0.0164510036395482,0.021394963202334,-0.768919464079915,0.441952268829832,0.829045336229386
"KEGG_PURINE_METABOLISM","Y",0.0449707103858316,125,-0.0206243932937801,0.0192167149246759,-1.07325281009902,0.283173598976985,0.702270525462922
"KEGG_PYRIMIDINE_METABOLISM","Y",0.0296897139563638,76,0.00656966012332758,0.0239197861128644,0.274653798839544,0.78358571235576,0.913634376536777
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM","Y",0.0121992832031484,27,-0.0617782297671462,0.0428257948235582,-1.44254718497746,0.149167295604563,0.51624022446496
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM","Y",0.0122414019659551,27,-0.0370081753365321,0.041772781599127,-0.885939933128741,0.375662972942118,0.822030757254765
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM","Y",0.0130467596038578,29,0.00490229499434935,0.0387400993512948,0.126543170421309,0.899303540298372,0.950400332360779
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION","Y",0.0170666913242539,40,-0.0737552796605653,0.0347383939538177,-2.12316319973278,0.033755211908715,0.34657755525583
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS","Y",0.00462363203802321,9,-0.113326905916265,0.0739503850915587,-1.53247215380898,0.125425381970887,0.51624022446496
"KEGG_LYSINE_DEGRADATION","Y",0.0175496568794531,41,-0.0296645842724338,0.0337059629368725,-0.880098999930435,0.378818663270557,0.822030757254765
